index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
62,0.0,Sell,87,20170203,201702030063,32.35,400.0,143000,603589.SH,201702030002
63,0.0,Sell,84,20170203,201702030064,15.95,1000.0,143000,600197.SH,201702030002
64,0.0,Sell,85,20170203,201702030065,9.52,1400.0,143000,002481.SZ,201702030002
65,0.0,Sell,82,20170203,201702030066,6.99,700.0,143000,600300.SH,201702030002
66,0.0,Buy,97,20170203,201702030067,32.55,1200.0,143000,603779.SH,201702030002
67,0.0,Buy,96,20170203,201702030068,6.77,2600.0,143000,002650.SZ,201702030002
68,0.0,Sell,83,20170203,201702030069,10.72,700.0,143000,600073.SH,201702030002
69,0.0,Sell,77,20170203,201702030070,42.58,400.0,143000,603866.SH,201702030002
70,0.0,Buy,76,20170203,201702030071,33.14,1100.0,143000,000568.SZ,201702030002
71,0.0,Sell,75,20170203,201702030072,12.99,600.0,143000,002329.SZ,201702030002
72,0.0,Sell,74,20170203,201702030073,14.84,800.0,143000,600872.SH,201702030002
73,0.0,Sell,73,20170203,201702030074,24.77,1000.0,143000,600809.SH,201702030002
74,0.0,Sell,72,20170203,201702030075,23.77,900.0,143000,002695.SZ,201702030002
75,0.0,Sell,71,20170203,201702030076,45.02,600.0,143000,000596.SZ,201702030002
76,0.0,Sell,70,20170203,201702030077,19.37,600.0,143000,002646.SZ,201702030002
77,0.0,Sell,91,20170203,201702030078,23.21,500.0,143000,600702.SH,201702030002
78,0.0,Sell,90,20170203,201702030079,6.79,1100.0,143000,600873.SH,201702030002
79,0.0,Sell,93,20170203,201702030080,70.33,1200.0,143000,002304.SZ,201702030002
80,0.0,Sell,92,20170203,201702030081,32.09,1900.0,143000,600600.SH,201702030002
81,0.0,Sell,95,20170203,201702030082,15.63,900.0,143000,002515.SZ,201702030002
82,0.0,Buy,94,20170203,201702030083,11.31,102000.0,143000,600090.SH,201702030002
83,0.0,Sell,79,20170203,201702030084,12.91,300.0,143000,002570.SZ,201702030002
84,0.0,Sell,78,20170203,201702030085,12.03,100.0,143000,600238.SH,201702030002
85,0.0,Buy,59,20170203,201702030086,12.86,300.0,143000,600597.SH,201702030002
86,0.0,Sell,58,20170203,201702030087,4.97,300.0,143000,600186.SH,201702030002
87,0.0,Sell,55,20170203,201702030088,17.84,700.0,143000,002702.SZ,201702030002
88,0.0,Sell,54,20170203,201702030089,11.15,500.0,143000,600365.SH,201702030002
89,0.0,Sell,57,20170203,201702030090,20.67,200.0,143000,603198.SH,201702030002
90,0.0,Sell,56,20170203,201702030091,10.48,400.0,143000,600059.SH,201702030002
91,0.0,Sell,51,20170203,201702030092,16.73,700.0,143000,002387.SZ,201702030002
92,0.0,Sell,50,20170203,201702030093,347.31,2200.0,143000,600519.SH,201702030002
93,0.0,Sell,53,20170203,201702030094,11.25,300.0,143000,000848.SZ,201702030002
94,0.0,Sell,52,20170203,201702030095,19.92,800.0,143000,002568.SZ,201702030002
95,0.0,Sell,89,20170203,201702030096,44.39,200.0,143000,002719.SZ,201702030002
96,0.0,Buy,88,20170203,201702030097,36.66,700.0,143000,000858.SZ,201702030002
97,0.0,Buy,132,20170301,201703010098,8.86,500.0,143000,002481.SZ,201703010003
98,0.0,Sell,135,20170301,201703010099,40.01,5000.0,143000,000858.SZ,201703010003
99,0.0,Buy,134,20170301,201703010100,35.75,100.0,143000,603589.SH,201703010003
100,0.0,Sell,115,20170301,201703010101,22.99,1300.0,143000,600779.SH,201703010003
101,0.0,Buy,114,20170301,201703010102,22.38,100.0,143000,000860.SZ,201703010003
102,0.0,Buy,117,20170301,201703010103,20.51,600.0,143000,002646.SZ,201703010003
103,0.0,Buy,116,20170301,201703010104,18.04,2100.0,143000,600887.SH,201703010003
104,0.0,Buy,111,20170301,201703010105,18.42,500.0,143000,002726.SZ,201703010003
105,0.0,Sell,110,20170301,201703010106,13.25,400.0,143000,600616.SH,201703010003
106,0.0,Buy,113,20170301,201703010107,19.64,200.0,143000,603020.SH,201703010003
107,0.0,Sell,112,20170301,201703010108,9.95,100.0,143000,600199.SH,201703010003
108,0.0,Buy,139,20170301,201703010109,33.29,1000.0,143000,600600.SH,201703010003
109,0.0,Buy,138,20170301,201703010110,24.08,200.0,143000,600702.SH,201703010003
110,0.0,Buy,119,20170301,201703010111,25.63,200.0,143000,002695.SZ,201703010003
111,0.0,Buy,118,20170301,201703010112,51.96,500.0,143000,000596.SZ,201703010003
112,0.0,Buy,130,20170301,201703010113,11.26,800.0,143000,600073.SH,201703010003
113,0.0,Buy,129,20170301,201703010114,7.02,800.0,143000,600300.SH,201703010003
114,0.0,Buy,133,20170301,201703010115,11.61,500.0,143000,300146.SZ,201703010003
115,0.0,Buy,128,20170301,201703010116,11.49,200.0,143000,600084.SH,201703010003
116,0.0,Sell,144,20170301,201703010117,33.5,100.0,143000,603779.SH,201703010003
117,0.0,Buy,142,20170301,201703010118,16.69,500.0,143000,002515.SZ,201703010003
118,0.0,Sell,143,20170301,201703010119,6.81,400.0,143000,002650.SZ,201703010003
119,0.0,Sell,140,20170301,201703010120,83.15,1900.0,143000,002304.SZ,201703010003
120,0.0,Buy,141,20170301,201703010121,11.56,1000.0,143000,600090.SH,201703010003
121,0.0,Sell,99,20170301,201703010122,17.29,1900.0,143000,002387.SZ,201703010003
122,0.0,Buy,98,20170301,201703010123,356.52,900.0,143000,600519.SH,201703010003
123,0.0,Sell,108,20170301,201703010124,21.53,800.0,143000,000895.SZ,201703010003
124,0.0,Buy,109,20170301,201703010125,34.53,100.0,143000,603027.SH,201703010003
125,0.0,Buy,124,20170301,201703010126,42.86,400.0,143000,603866.SH,201703010003
126,0.0,Buy,125,20170301,201703010127,11.71,300.0,143000,600238.SH,201703010003
127,0.0,Buy,126,20170301,201703010128,12.96,1600.0,143000,002570.SZ,201703010003
128,0.0,Buy,127,20170301,201703010129,30.16,200.0,143000,002582.SZ,201703010003
129,0.0,Buy,102,20170301,201703010130,11.55,400.0,143000,600365.SH,201703010003
130,0.0,Buy,103,20170301,201703010131,17.82,300.0,143000,002702.SZ,201703010003
131,0.0,Sell,100,20170301,201703010132,21.69,1200.0,143000,002568.SZ,201703010003
132,0.0,Sell,101,20170301,201703010133,11.46,100.0,143000,000848.SZ,201703010003
133,0.0,Buy,106,20170301,201703010134,5.04,100.0,143000,600186.SH,201703010003
134,0.0,Sell,107,20170301,201703010135,13.34,400.0,143000,600597.SH,201703010003
135,0.0,Buy,104,20170301,201703010136,10.89,600.0,143000,600059.SH,201703010003
136,0.0,Sell,105,20170301,201703010137,21.58,300.0,143000,603198.SH,201703010003
137,0.0,Buy,120,20170301,201703010138,30.22,500.0,143000,600809.SH,201703010003
138,0.0,Buy,121,20170301,201703010139,15.13,300.0,143000,600872.SH,201703010003
139,0.0,Sell,122,20170301,201703010140,13.94,1400.0,143000,002329.SZ,201703010003
140,0.0,Buy,131,20170301,201703010141,17.65,900.0,143000,600197.SH,201703010003
141,0.0,Sell,123,20170301,201703010142,37.96,2900.0,143000,000568.SZ,201703010003
142,0.0,Buy,137,20170301,201703010143,6.91,2500.0,143000,600873.SH,201703010003
143,0.0,Buy,136,20170301,201703010144,47.4,100.0,143000,002719.SZ,201703010003
144,0.0,Sell,151,20170405,201704050145,4.71,300.0,143000,600186.SH,201704050004
145,0.0,Sell,150,20170405,201704050146,21.63,1200.0,143000,603198.SH,201704050004
146,0.0,Sell,153,20170405,201704050147,22.79,1000.0,143000,000895.SZ,201704050004
147,0.0,Sell,152,20170405,201704050148,10.52,400.0,143000,002770.SZ,201704050004
148,0.0,Sell,155,20170405,201704050149,22.49,200.0,143000,000799.SZ,201704050004
149,0.0,Sell,154,20170405,201704050150,35.21,400.0,143000,603027.SH,201704050004
150,0.0,Sell,157,20170405,201704050151,20.96,2000.0,143000,002726.SZ,201704050004
151,0.0,Sell,156,20170405,201704050152,12.49,500.0,143000,600616.SH,201704050004
152,0.0,Sell,159,20170405,201704050153,18.76,300.0,143000,603020.SH,201704050004
153,0.0,Sell,158,20170405,201704050154,9.62,400.0,143000,600199.SH,201704050004
154,0.0,Buy,179,20170405,201704050155,43.31,2800.0,143000,000858.SZ,201704050004
155,0.0,Sell,178,20170405,201704050156,35.02,200.0,143000,603589.SH,201704050004
156,0.0,Sell,177,20170405,201704050157,11.16,1700.0,143000,300146.SZ,201704050004
157,0.0,Buy,176,20170405,201704050158,8.07,200.0,143000,002481.SZ,201704050004
158,0.0,Sell,175,20170405,201704050159,19.19,200.0,143000,600197.SH,201704050004
159,0.0,Sell,174,20170405,201704050160,10.55,1100.0,143000,600073.SH,201704050004
160,0.0,Sell,173,20170405,201704050161,6.58,900.0,143000,600300.SH,201704050004
161,0.0,Buy,172,20170405,201704050162,9.81,100.0,143000,600084.SH,201704050004
162,0.0,Sell,171,20170405,201704050163,27.74,400.0,143000,002582.SZ,201704050004
163,0.0,Sell,170,20170405,201704050164,12.99,1000.0,143000,002570.SZ,201704050004
164,0.0,Sell,182,20170405,201704050165,26.75,500.0,143000,600702.SH,201704050004
165,0.0,Buy,183,20170405,201704050166,32.82,500.0,143000,600600.SH,201704050004
166,0.0,Sell,180,20170405,201704050167,44.52,100.0,143000,002719.SZ,201704050004
167,0.0,Sell,181,20170405,201704050168,7.51,9500.0,143000,600873.SH,201704050004
168,0.0,Sell,186,20170405,201704050169,16.38,2100.0,143000,002515.SZ,201704050004
169,0.0,Sell,187,20170405,201704050170,6.91,600.0,143000,002650.SZ,201704050004
170,0.0,Buy,184,20170405,201704050171,87.76,2800.0,143000,002304.SZ,201704050004
171,0.0,Sell,185,20170405,201704050172,10.91,1000.0,143000,600090.SH,201704050004
172,0.0,Sell,188,20170405,201704050173,31.59,100.0,143000,603779.SH,201704050004
173,0.0,Sell,146,20170405,201704050174,11.54,2200.0,143000,000848.SZ,201704050004
174,0.0,Sell,147,20170405,201704050175,11.93,400.0,143000,600365.SH,201704050004
175,0.0,Buy,145,20170405,201704050176,21.22,1200.0,143000,002568.SZ,201704050004
176,0.0,Sell,148,20170405,201704050177,17.29,200.0,143000,002702.SZ,201704050004
177,0.0,Sell,149,20170405,201704050178,10.31,1100.0,143000,600059.SH,201704050004
178,0.0,Buy,168,20170405,201704050179,42.53,1700.0,143000,000568.SZ,201704050004
179,0.0,Buy,169,20170405,201704050180,43.07,900.0,143000,603866.SH,201704050004
180,0.0,Sell,164,20170405,201704050181,51.84,300.0,143000,000596.SZ,201704050004
181,0.0,Sell,165,20170405,201704050182,29.81,900.0,143000,600809.SH,201704050004
182,0.0,Sell,166,20170405,201704050183,16.23,700.0,143000,600872.SH,201704050004
183,0.0,Buy,167,20170405,201704050184,12.84,1200.0,143000,002329.SZ,201704050004
184,0.0,Sell,160,20170405,201704050185,22.37,1400.0,143000,000860.SZ,201704050004
185,0.0,Sell,161,20170405,201704050186,25.22,100.0,143000,600779.SH,201704050004
186,0.0,Sell,162,20170405,201704050187,18.88,1100.0,143000,600887.SH,201704050004
187,0.0,Sell,163,20170405,201704050188,20.29,700.0,143000,002646.SZ,201704050004
188,0.0,Buy,101010,20170427,101010,0.0,14854.9291741,200000,002702.SZ,101010
189,0.0,Buy,101010,20170427,101010,0.0,1537.5708783,200000,603198.SH,101010
190,0.0,Buy,101010,20170407,101010,0.0,2460.16367046,200000,300146.SZ,101010
191,0.0,Buy,101010,20170411,101010,0.0,9140.82376172,200000,600873.SH,101010
192,0.0,Buy,101010,20170428,101010,0.0,18.6900438055,200000,002695.SZ,101010
193,0.0,Buy,216,20170502,201705020189,45.36,1100.0,143000,000568.SZ,201705020005
194,0.0,Sell,217,20170502,201705020190,36.76,900.0,143000,603866.SH,201705020005
195,0.0,Sell,214,20170502,201705020191,17.56,800.0,143000,600872.SH,201705020005
196,0.0,Sell,215,20170502,201705020192,11.17,400.0,143000,002329.SZ,201705020005
197,0.0,Buy,199,20170502,201705020193,10.29,100.0,143000,002770.SZ,201705020005
198,0.0,Sell,198,20170502,201705020194,12.86,800.0,143000,600597.SH,201705020005
199,0.0,Buy,210,20170502,201705020195,18.19,100.0,143000,002646.SZ,201705020005
200,0.0,Buy,211,20170502,201705020196,49.03,500.0,143000,000596.SZ,201705020005
201,0.0,Buy,195,20170502,201705020197,9.53,1200.0,143000,600059.SH,201705020005
202,0.0,Sell,194,20170502,201705020198,9.1,1654.92917411,143000,002702.SZ,201705020005
203,0.0,Buy,197,20170502,201705020199,4.13,1600.0,143000,600186.SH,201705020005
204,0.0,Buy,196,20170502,201705020200,21.01,962.4291217,143000,603198.SH,201705020005
205,0.0,Sell,191,20170502,201705020201,20.16,200.0,143000,002568.SZ,201705020005
206,0.0,Buy,190,20170502,201705020202,16.81,1800.0,143000,002387.SZ,201705020005
